Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
48.910000,-125.250000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,2.76
48.880000,-125.270000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,0.12
48.960000,-125.040000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,2,9.76
48.930000,-125.220000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.87
48.940000,-125.160000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,0.78
48.860000,-125.130000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,3,4.14
48.940000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.47
48.900000,-125.430000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,14.47
48.830000,-125.400000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,0.38
48.950000,-125.400000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,1.01
48.830000,-125.130000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.16
48.860000,-125.310000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,5.29
48.910000,-125.500000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,2,3.72
48.960000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,8.09
48.970000,-125.340000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.87
48.850000,-125.200000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,1.84
48.920000,-125.470000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,1.65
48.870000,-125.250000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,0.42
48.910000,-125.250000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,4.95
48.950000,-125.320000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,2.03
48.920000,-125.270000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.87
48.890000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,0.97
48.910000,-125.480000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",dredge_fishing,1,1.00
48.930000,-125.220000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,4.80
48.970000,-125.320000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,2.88
48.830000,-125.370000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.51
48.870000,-125.270000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.23
48.980000,-125.330000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.79
48.920000,-125.250000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.59
48.960000,-125.080000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,1.69
48.910000,-125.500000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,41.00
48.880000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trawlers,1,1.04
48.910000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,0.25
48.950000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,2.00
